renda,divida,score,tempo_emprego,idade,classe
0.1275,0.28077,0.927,0.89791666666667,0.54,bom
0.60142,0.55421,0.478,0.65416666666667,0.58,bom
0.55056,0.77343,0.767,0,0.18,ruim
0.49762,0.686555,0.323,0.010416666666667,0.61,ruim
0.38372,0.45774,0.103,0.22708333333333,0.32,ruim
0.75878,1,0.14,0.17708333333333,0.4,ruim
0.7745,1,0.286,0.016666666666667,0.68,ruim
0.59308,0.20409,0.732,0.091666666666667,0.24,bom
0.8051,0.13702,0.955,0.054166666666667,0.5,bom
0.61334,0.085945,0.629,0.10833333333333,0.44,bom
0.98182,1,0.224,0.62083333333333,0.44,ruim
0.82328,0.92543,0.65,0.54583333333333,0.54,bom
0.27074,0.27495,0.76,0.016666666666667,0.21,bom
0.44314,0.284415,0.118,0.25625,0.7,ruim
0.64984,1,0.668,0.19791666666667,0.28,ruim
0.23658,0.48953,0.327,0.23541666666667,0.4,ruim
0.4011,0.536025,0.662,0.32916666666667,0.33,bom
0.04962,0.112685,0.344,0.60833333333333,0.56,bom
0.03546,0.008445,0.756,0.64791666666667,0.51,bom
0.28568,0.42443,0.299,0.33958333333333,0.37,ruim
0.53308,0.014085,0.7,0.22916666666667,0.29,bom
0.3502,0.14015,0.419,0.014583333333333,0.2,bom
0.96552,1,0.5,0.46875,0.53,ruim
0.50212,1,0.666,0.52708333333333,0.45,ruim
0.79728,0.221395,0.923,0.97083333333333,0.58,bom
0.77564,1,0.361,0.2375,0.58,ruim
0.82722,0.380625,0.202,0.71875,0.54,bom
0.92788,0.808155,0.512,0.125,0.24,ruim
0.97126,1,0.55,0.125,0.33,ruim
0.05944,0.06396,0.4,0.65625,0.54,bom
0.87798,0.995435,0.979,0.022916666666667,0.42,bom
0.65534,0.03084,0.465,0.56875,0.7,bom
0.6433,1,0.484,0.33125,0.33,ruim
0.08246,0.0484,0.458,0.74166666666667,0.7,bom
0.05058,0.114915,0.904,0.63333333333333,0.69,bom
0.48444,0.481185,0.38,0.40416666666667,0.66,bom
0.65474,0.904085,0.497,0.054166666666667,0.21,ruim
0.86614,1,0.863,0.39791666666667,0.54,bom
0.26452,0.3909,0.304,0.53541666666667,0.43,bom
0.2985,0.47851,0.413,0.15208333333333,0.47,ruim
0.75878,1,0.415,0.15625,0.65,ruim
0.72806,1,0.557,0.066666666666667,0.22,ruim
0.35878,0.01862,0.58,0.16458333333333,0.4,bom
0.49196,1,0.63,0.36666666666667,0.53,ruim
0.50392,0.886345,0.737,0.60833333333333,0.62,bom
0.47162,0.27745,0.659,0.39375,0.62,bom
0.35716,0.75489,0.115,0.88958333333333,0.6,ruim
0.8199,0.578475,0.867,0.052083333333333,0.41,bom
0.8158,0.0687,0.354,0.0020833333333333,0.51,bom
0.30036,0.110845,0.941,0.17708333333333,0.27,bom
0.88318,1,0.753,0,0.18,ruim
0.75658,0.678425,0.114,0.44583333333333,0.43,ruim
0.51938,1,0.658,0,0.2,ruim
0.99374,0.229365,0.824,0.18125,0.32,bom
0.06464,0.14575,0.617,0.825,0.53,bom
0.18156,0.38781,0.925,0.09375,0.41,bom
0.44202,0.4396,0.377,0.18541666666667,0.28,ruim
0.7781,1,0.794,0.99583333333333,0.69,bom
0.75534,1,0.299,0.31041666666667,0.32,ruim
0.7728,0.054975,0.813,0.38125,0.46,bom
0.69178,1,0.866,0.077083333333333,0.28,ruim
0.92218,1,0.328,0.13541666666667,0.28,ruim
0.9515,0.935695,0.235,0.68333333333333,0.55,ruim
0.10518,0.06678,0.33,0.19791666666667,0.28,bom
0.79052,1,0.662,0.48958333333333,0.66,bom
0.0903,0.11334,0.675,0.039583333333333,0.2,bom
0.6375,0.57066,0.987,0.0875,0.42,bom
0.8764,0.034695,0.648,0.17916666666667,0.33,bom
0.30514,0.36091,0.994,0.022916666666667,0.46,bom
0.26506,0.1677,0.307,0.027083333333333,0.26,ruim
0.52346,0.738095,0.506,0.62083333333333,0.68,bom
0.49558,0.288885,0.348,0.21041666666667,0.3,bom
0.73622,0.83534,0.231,0.46041666666667,0.58,ruim
0.5994,1,0.659,0.05,0.3,ruim
0.40548,0.85066,0.464,0.65625,0.48,bom
0.28134,0.451735,0.584,0.045833333333333,0.54,ruim
0.6817,0.897825,0.891,0.89791666666667,0.63,bom
0.24192,0.01242,0.901,0.15208333333333,0.33,bom
0.3089,0.747395,0.693,0.047916666666667,0.26,ruim
0.78144,1,0.536,0.26458333333333,0.48,ruim
0.72012,1,0.581,0.57708333333333,0.53,ruim
0.73406,1,0.328,0.475,0.45,ruim
0.4781,0.574425,0.498,0.4875,0.66,bom
0.81528,1,0.877,0.045833333333333,0.32,bom
0.75024,0.01924,0.821,0.43125,0.43,bom
0.13116,0.242395,0.486,0.11041666666667,0.29,bom
0.69436,1,0.811,0.39583333333333,0.59,ruim
0.18952,0.342395,0.963,0.70208333333333,0.57,bom
0.10574,0.040425,0.451,0.4875,0.49,bom
0.76142,1,0.299,0.072916666666667,0.32,ruim
0.45618,0.564155,0.507,0.0625,0.29,ruim
0.17388,0.102075,0.84,0.69166666666667,0.69,bom
0.27312,0.31261,0.919,0.375,0.37,bom
0.9698,0.34316,0.532,0.40416666666667,0.57,bom
0.63108,0.917285,0.441,0.30416666666667,0.66,ruim
0.88476,1,0.115,0.40208333333333,0.49,ruim
0.63918,0.9468,0.248,0.7375,0.55,ruim
0.15284,0.19143,0.888,0.0125,0.2,bom
0.40468,0.34818,0.995,0.94375,0.63,bom
0.29496,0.25897,0.136,0.55,0.45,bom
0.83462,1,0.348,0.17291666666667,0.39,ruim
0.23174,0.43895,0.841,0.20208333333333,0.29,bom
0.89206,0.273355,0.565,0.070833333333333,0.26,bom
0.088,0.17546,0.954,0.46458333333333,0.41,bom
0.67356,1,0.57,0.0020833333333333,0.19,ruim
0.77536,0.18217,0.466,0.01875,0.22,bom
0.63064,1,0.227,0.4625,0.38,ruim
0.99446,0.59245,0.141,0,0.18,ruim
0.6173,0.986525,0.562,0.125,0.26,ruim
0.6795,1,0.164,0.1625,0.34,ruim
0.62314,1,0.645,0.0875,0.47,ruim
0.86358,1,0.718,0.69791666666667,0.56,bom
0.77156,0.919705,0.688,0.48333333333333,0.43,bom
0.66632,0.47533,0.843,0.23541666666667,0.63,bom
0.94334,0.810415,0.16,0.36666666666667,0.51,ruim
0.5919,1,0.386,0.63958333333333,0.58,ruim
0.46062,0.48768,0.878,0.020833333333333,0.25,bom
0.36512,0.21687,0.944,0.36666666666667,0.35,bom
0.35396,0.641985,0.176,0.31875,0.57,ruim
0.68454,0.38938,0.258,0.31458333333333,0.38,bom
0.6601,0.06229,0.398,0.41666666666667,0.44,bom
0.77888,1,0.115,0.30416666666667,0.63,ruim
0.93658,1,0.117,0.15208333333333,0.67,ruim
0.94898,1,0.259,0.12916666666667,0.35,ruim
0.04052,0.07319,0.358,0.020833333333333,0.54,ruim
0.24154,0.014265,0.965,0.16041666666667,0.48,bom
0.10702,0.12512,0.508,0.82916666666667,0.68,bom
0.48386,0.44983,0.483,0.40416666666667,0.41,bom
0.38556,0.54631,0.724,0.97708333333333,0.6,bom
0.2068,0.47027,0.549,0.21666666666667,0.31,bom
0.05164,0.06868,0.611,0.48958333333333,0.54,bom
0.36798,0.56012,0.975,0.11041666666667,0.42,bom
0.42542,0.265445,0.418,0.045833333333333,0.21,ruim
0.67096,1,0.779,0.74583333333333,0.63,bom
0.41976,0.231415,0.112,0.23125,0.34,ruim
0.2579,0.179585,0.757,0.2125,0.34,bom
0.99588,0.386105,0.156,0.26041666666667,0.47,bom
0.10238,0.017155,0.111,0.11458333333333,0.3,ruim
0.90712,1,0.708,0.4875,0.68,bom
0.62834,1,0.337,0.94791666666667,0.65,ruim
0.34018,0.59285,0.54,0.80625,0.58,bom
0.16532,0.09012,0.475,0.11875,0.61,bom
0.73712,0.413665,0.3,0.36458333333333,0.38,bom
0.7221,0.470705,0.711,0.93125,0.69,bom
0.82752,1,0.984,0.27708333333333,0.44,bom
0.0725,0.172695,0.35,0.09375,0.31,ruim
0.20248,0.229135,0.514,0,0.18,bom
0.77336,1,0.68,0.041666666666667,0.24,ruim
0.4652,0.306905,0.712,0.10416666666667,0.44,bom
0.87048,0.29501,0.176,0.27083333333333,0.37,bom
0.75578,0.95137,0.696,0.19791666666667,0.42,ruim
0.38042,0.42267,0.99,0.65208333333333,0.51,bom
0.39682,0.133945,0.531,0.12708333333333,0.24,bom
0.72886,0.80075,0.791,0.60833333333333,0.53,bom
0.62064,0.09972,0.715,0.095833333333333,0.25,bom
0.15508,0.097795,0.172,0.26458333333333,0.29,ruim
0.0319,0.037015,0.206,0.225,0.48,ruim
0.4545,1,0.129,0.077083333333333,0.28,ruim
0.43142,0.295345,0.747,0.49375,0.48,bom
0.11496,0.18252,0.567,0.175,0.33,bom
0.24408,0.484755,0.622,0.49166666666667,0.53,bom
0.1201,0.216555,0.538,0.12291666666667,0.34,bom
0.26532,0.15844,0.506,0.28125,0.41,bom
0.0434,0.02029,0.851,0.24166666666667,0.65,bom
